#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
 105000      1.86e+00    1.87e+00      9.16e-04    4.35e-04      7.78e-02    7.65e-02      1.20e-02    1.37e-02    4.7e-04
 106000      1.87e+00    1.70e+00      8.37e-04    1.55e-03      8.38e-02    7.34e-02      6.17e-03    7.72e-03    4.7e-04
 107000      1.74e+00    1.85e+00      1.31e-03    2.02e-03      7.54e-02    7.47e-02      8.65e-03    1.27e-02    4.7e-04
 108000      2.16e+00    2.00e+00      1.79e-03    3.60e-04      8.96e-02    8.90e-02      1.38e-02    8.44e-03    4.7e-04
 109000      2.10e+00    1.61e+00      2.05e-03    6.25e-04      8.74e-02    7.16e-02      1.29e-02    6.20e-03    4.7e-04
 110000      2.03e+00    1.77e+00      9.99e-04    9.72e-04      8.39e-02    7.76e-02      1.53e-02    9.95e-03    4.5e-04
 111000      1.98e+00    1.81e+00      2.03e-04    4.93e-04      8.63e-02    7.91e-02      1.18e-02    1.06e-02    4.5e-04
 112000      1.73e+00    1.52e+00      1.69e-03    9.12e-04      7.15e-02    6.45e-02      1.21e-02    9.96e-03    4.5e-04
 113000      1.67e+00    1.65e+00      4.92e-04    8.07e-04      7.11e-02    7.50e-02      1.14e-02    5.71e-03    4.5e-04
 114000      1.67e+00    1.71e+00      2.59e-03    2.07e-03      7.29e-02    7.25e-02      4.59e-03    9.59e-03    4.5e-04
 115000      1.56e+00    1.62e+00      1.84e-03    2.11e-03      6.75e-02    6.71e-02      8.94e-03    1.09e-02    4.4e-04
 116000      2.11e+00    2.03e+00      6.93e-03    5.54e-03      7.15e-02    7.49e-02      3.42e-03    8.54e-03    4.4e-04
 117000      1.85e+00    2.11e+00      8.04e-04    1.12e-03      7.92e-02    9.35e-02      1.34e-02    1.23e-02    4.4e-04
 118000      1.90e+00    1.93e+00      7.82e-04    2.31e-04      8.59e-02    6.94e-02      9.54e-03    2.11e-02    4.4e-04
 119000      1.82e+00    1.95e+00      2.71e-03    1.48e-03      8.08e-02    8.30e-02      5.77e-03    1.36e-02    4.4e-04
 120000      1.73e+00    1.84e+00      2.95e-03    1.63e-03      7.80e-02    7.82e-02      2.13e-03    1.39e-02    4.2e-04
 121000      1.58e+00    1.68e+00      3.15e-03    2.75e-03      6.51e-02    7.35e-02      8.21e-03    7.20e-03    4.2e-04
 122000      1.79e+00    1.65e+00      5.33e-04    5.04e-04      8.11e-02    7.31e-02      1.09e-02    1.12e-02    4.2e-04
 123000      1.83e+00    1.74e+00      2.78e-03    2.86e-03      8.02e-02    7.39e-02      8.98e-03    9.94e-03    4.2e-04
 124000      1.82e+00    1.73e+00      1.26e-03    7.10e-04      8.43e-02    7.86e-02      7.84e-03    1.01e-02    4.2e-04
 125000      1.63e+00    1.77e+00      8.05e-04    1.90e-03      7.69e-02    8.14e-02      7.65e-03    8.80e-03    4.1e-04
 126000      1.69e+00    2.00e+00      1.42e-03    2.83e-03      7.78e-02    7.42e-02      9.28e-03    2.03e-02    4.1e-04
 127000      1.88e+00    1.86e+00      3.01e-03    2.75e-03      7.32e-02    8.25e-02      1.63e-02    9.56e-03    4.1e-04
 128000      1.52e+00    1.65e+00      1.19e-03    3.76e-04      7.28e-02    7.25e-02      5.16e-03    1.31e-02    4.1e-04
 129000      1.64e+00    1.80e+00      2.88e-03    2.57e-03      7.12e-02    8.05e-02      8.20e-03    8.97e-03    4.1e-04
 130000      1.78e+00    1.38e+00      5.31e-04    1.56e-04      7.86e-02    6.81e-02      1.49e-02    4.28e-03    3.9e-04
 131000      1.82e+00    1.36e+00      3.78e-03    2.78e-03      7.77e-02    5.88e-02      8.19e-03    5.43e-03    3.9e-04
 132000      1.78e+00    1.85e+00      4.74e-03    3.94e-03      6.95e-02    8.01e-02      7.03e-03    6.09e-03    3.9e-04
 133000      1.60e+00    1.60e+00      7.25e-04    7.63e-04      7.47e-02    7.82e-02      1.01e-02    6.07e-03    3.9e-04
 134000      1.64e+00    1.64e+00      2.61e-04    8.03e-04      7.51e-02    7.37e-02      1.19e-02    1.25e-02    3.9e-04
 135000      1.63e+00    1.48e+00      1.03e-03    2.99e-04      7.58e-02    7.09e-02      1.15e-02    9.54e-03    3.8e-04
 136000      2.21e+00    2.10e+00      5.74e-03    6.15e-03      8.93e-02    7.87e-02      8.07e-03    7.01e-03    3.8e-04
 137000      1.53e+00    1.77e+00      1.54e-03    1.00e-03      7.45e-02    8.19e-02      5.65e-03    1.30e-02    3.8e-04
 138000      1.44e+00    1.57e+00      8.49e-04    9.64e-04      7.16e-02    7.70e-02      5.32e-03    6.96e-03    3.8e-04
 139000      1.69e+00    1.52e+00      1.53e-03    4.84e-04      8.12e-02    6.97e-02      8.46e-03    1.19e-02    3.8e-04
 140000      1.60e+00    1.44e+00      1.42e-03    1.75e-04      7.94e-02    7.39e-02      6.80e-03    4.47e-03    3.7e-04
 141000      1.38e+00    1.55e+00      2.82e-04    7.85e-04      6.98e-02    7.52e-02      5.79e-03    9.87e-03    3.7e-04
 142000      1.79e+00    1.77e+00      4.11e-03    3.08e-03      6.68e-02    8.05e-02      1.54e-02    9.51e-03    3.7e-04
 143000      1.42e+00    1.53e+00      1.55e-04    3.10e-04      7.30e-02    7.88e-02      4.33e-03    4.68e-03    3.7e-04
 144000      1.63e+00    1.43e+00      9.95e-04    5.44e-04      7.98e-02    7.19e-02      9.65e-03    6.90e-03    3.7e-04
 145000      1.63e+00    1.49e+00      5.40e-04    8.21e-04      7.79e-02    6.70e-02      1.29e-02    1.43e-02    3.5e-04
